id,locale_de,RefModel,Command,Type,status_de,Comment
Standard_2693615,Ortszuordnung,Standard,,caption,final,<NO_COMMENT>
Standard_2681151,In Bearbeitung,Standard,,caption,final,In progress
Standard_5483093,Breitengrad,Standard,,caption,exported,Latitude
Standard_6959221,Partner dieser Person anzeigen,Standard,,caption,final,Created by Wcl Migration
Standard_5483785,Defaultkontakt,Standard,,caption,exported,<NO_COMMENT>
Standard_2685525,Gebucht,Standard,,caption,final,<NO_COMMENT>
Standard_5503419,Zuordnung Geografie,Standard,,title,final,<NO_COMMENT>
Standard_6958552,Person in Zielgruppe hinzufügen,Standard,,caption,final,Created by Wcl Migration
Standard_5504016,Bezirk,Standard,,title,final,<NO_COMMENT>
Standard_2695706,Zuordnung Geografie,Standard,,caption,final,<NO_COMMENT>
Standard_6023563,Alte Personennr. [LWC],Standard,,caption,final,Alte Personennummer [low level code]
Standard_2699505,Geschäftsreg. Verkauf,Standard,,caption,final,<NO_COMMENT>
Standard_2687545,Löschung vorgemerkt,Standard,,caption,final,<NO_COMMENT>
Standard_2683197,Bemerkung,Standard,,caption,final,<NO_COMMENT>
Standard_2726969,PLZ,Standard,,caption,final,<NO_COMMENT>
Standard_2700291,Ortsteil,Standard,,caption,final,<NO_COMMENT>
Standard_2759032,Benützer Identifikation,Standard,,caption,exported,<NO_COMMENT>
Standard_2682814,Status,Standard,,caption,final,Status
Standard_2710369,Schnellerfassung,Standard,,caption,final,<NO_COMMENT>
Standard_2698381,EU-Ländercode,Standard,,caption,final,<NO_COMMENT>
Standard_2728066,Bezeichnung Land,Standard,,caption,final,<NO_COMMENT>
Standard_2692006,Hauptadresse,Standard,,caption,final,<NO_COMMENT>
Standard_5503431,Zuordnung Ort-Geographiegruppe,Standard,,title,final,<NO_COMMENT>
Standard_2732662,Personenart,Standard,,title,final,<NO_COMMENT>
Standard_2678884,Bezeichnung,Standard,,caption,final,<NO_COMMENT>
Standard_5504012,Person,Standard,,title,final,<NO_COMMENT>
Standard_2695668,Geo. Zolltarif-Nr.,Standard,,caption,final,<NO_COMMENT>
Standard_2679161,Zustand,Standard,,caption,final,<NO_COMMENT>
Standard_2696091,Kommunikations-Nr.,Standard,,caption,final,<NO_COMMENT>
Standard_6964058,Profildaten-Element,Standard,,title,final,Profile Data Item
Standard_2710533,Aktivitäten,Standard,,caption,final,<NO_COMMENT>
Standard_2691057,Standortnummer,Standard,,caption,final,<NO_COMMENT>
Standard_6959675,Zuteilen Ortschaften,Standard,,caption,final,Created by Wcl Migration
Standard_2679519,Name,Standard,,caption,final,<NO_COMMENT>
Standard_5837303,Restriktion 2,Standard,,caption,exported,Restriktion 2
Standard_2679707,Text,Standard,,caption,final,<NO_COMMENT>
Standard_5503944,Virtuelle Entität für Modul Address,Standard,,title,final,<NO_COMMENT>
Standard_2680511,Name,Standard,,caption,final,<NO_COMMENT>
Standard_2678824,Ja,Standard,,caption,final,<NO_COMMENT>
